phone,first_name,last_name,address,city,state,zip,county,email
715-530-9863,Allene,Iturbide,1 Central Ave,Stevens Point,WI,54481,Portage,allene_iturbide@cox.net
913-899-1103,Chanel,Caudy,86 Nw 66th St #8673,Shawnee,KS,66218,Johnson,chanel.caudy@caudy.org
410-235-8738,Ezekiel,Chui,2 Cedar Ave #84,Easton,MD,21601,Talbot,ezekiel@chui.com
212-934-5167,Willow,Kusko,90991 Thorburn Ave,New York,NY,10011,New York,wkusko@yahoo.com
936-597-3614,Bernardo,Figeroa,386 9th Ave N,Conroe,TX,77301,Montgomery,bfigeroa@aol.com
614-648-3265,Ammie,Corrio,74874 Atlantic Ave,Columbus,OH,43215,Franklin,ammie@corrio.com
505-335-5293,Francine,Vocelka,366 South Dr,Las Cruces,NM,88011,Dona Ana,francine_vocelka@vocelka.com
201-387-9093,Ernie,Stenseth,45 E Liberty St,Ridgefield Park,NJ,7660,Bergen,ernie_stenseth@aol.com
732-782-6701,Albina,Glick,4 Ralph Ct,Dunellen,NJ,8812,Middlesex,albina@glick.com
212-753-2740,Alishia,Sergi,2742 Distribution Way,New York,NY,10025,New York,asergi@gmail.com
504-265-8174,Solange,Shinko,426 Wolf St,Metairie,LA,70002,Jefferson,solange@shinko.com
212-569-4233,Jose,Stockham,128 Bransten Rd,New York,NY,10011,New York,jose@yahoo.com
805-609-1531,Rozella,Ostrosky,17 Morena Blvd,Camarillo,CA,93012,Ventura,rozella.ostrosky@ostrosky.com
210-300-6244,Valentine,Gillian,775 W 17th St,San Antonio,TX,78204,Bexar,valentine_gillian@gmail.com
785-219-7724,Kati,Rulapaugh,6980 Dorsett Rd,Abilene,KS,67410,Dickinson,kati.rulapaugh@hotmail.com
541-993-2611,Youlanda,Schemmer,2881 Lewis Rd,Prineville,OR,97754,Crook,youlanda@aol.com
913-645-8918,Dyan,Oldroyd,7219 Woodfield Rd,Overland Park,KS,66204,Johnson,doldroyd@aol.com
907-335-6568,Roxane,Campain,1048 Main St,Fairbanks,AK,99708,Fairbanks North Star,roxane@hotmail.com
305-995-2078,Lavera,Perin,678 3rd Ave,Miami,FL,33196,Miami-Dade,lperin@perin.org
907-227-6777,Erick,Ferencz,20 S Babcock St,Fairbanks,AK,99712,Fairbanks North Star,erick.ferencz@aol.com
952-479-2375,Fatima,Saylors,2 Lighthouse Ave,Hopkins,MN,55343,Hennepin,fsaylors@saylors.org
617-997-5771,Jina,Briddick,38938 Park Blvd,Boston,MA,2128,Suffolk,jina_briddick@briddick.com
323-315-7314,Kanisha,Waycott,5 Tomahawk Dr,Los Angeles,CA,90006,Los Angeles,kanisha_waycott@yahoo.com
608-658-7940,Emerson,Bowley,762 S Main St,Madison,WI,53711,Dane,emerson.bowley@bowley.org
215-794-4519,Blair,Malet,209 Decker Dr,Philadelphia,PA,19132,Philadelphia,bmalet@yahoo.com
